X_m	Td_ms	Tr1_ms	Tr2_ms
2	0.0050	0.0254	0.0379
4	0.0100	0.0268	0.0384
6	0.0150	0.0281	0.0388
8	0.0200	0.0294	0.0392
10	0.0250	0.0308	0.0397
12	0.0300	0.0321	0.0401
14	0.0350	0.0334	0.0406
16	0.0400	0.0348	0.0410
18	0.0450	0.0361	0.0415
20	0.0500	0.0374	0.0419
22	0.0550	0.0388	0.0424
24	0.0600	0.0401	0.0428
26	0.0650	0.0414	0.0432
28	0.0700	0.0428	0.0437
30	0.0750	0.0441	0.0441
32	0.0800	0.0454	0.0446
34	0.0850	0.0468	0.0450
36	0.0900	0.0481	0.0455
38	0.0950	0.0494	0.0459
40	0.1000	0.0508	0.0464
42	0.1050	0.0521	0.0468
44	0.1100	0.0534	0.0472
46	0.1150	0.0548	0.0477
48	0.1200	0.0561	0.0481
50	0.1250	0.0574	0.0486
